country,year,population
Afghanistan,1952,8425333
Afghanistan,1957,9240934
Afghanistan,1962,10267083
Afghanistan,1967,11537966
Afghanistan,1972,13079460
Afghanistan,1977,14880372
Afghanistan,1982,12881816
Afghanistan,1987,13867957
Afghanistan,1992,16317921
Afghanistan,1997,22227415
Afghanistan,2002,25268405
Afghanistan,2007,31889923
Albania,1952,1282697
Albania,1957,1476505
Albania,1962,1728137
Albania,1967,1984060
Albania,1972,2263554
Albania,1977,2509048
Albania,1982,2780097
Albania,1987,3075321
Albania,1992,3326498
Albania,1997,3428038
Albania,2002,3508512
Albania,2007,3600523
Algeria,1952,9279525
Algeria,1957,10270856
Algeria,1962,11000948
Algeria,1967,12760499
Algeria,1972,14760787
Algeria,1977,17152804
Algeria,1982,20033753
Algeria,1987,23254956
Algeria,1992,26298373
Algeria,1997,29072015
Algeria,2002,31287142
Algeria,2007,33333216
Angola,1952,4232095
Angola,1957,4561361
Angola,1962,4826015
Angola,1967,5247469
Angola,1972,5894858
Angola,1977,6162675
Angola,1982,7016384
Angola,1987,7874230
Angola,1992,8735988
Angola,1997,9875024
Angola,2002,10866106
Angola,2007,12420476
Argentina,1952,17876956
Argentina,1957,19610538
Argentina,1962,21283783
Argentina,1967,22934225
Argentina,1972,24779799
Argentina,1977,26983828
Argentina,1982,29341374
Argentina,1987,31620918
Argentina,1992,33958947
Argentina,1997,36203463
Argentina,2002,38331121
Argentina,2007,40301927
Australia,1952,8691212
Australia,1957,9712569
Australia,1962,10794968
Australia,1967,11872264
Australia,1972,13177000
Australia,1977,14074100
Australia,1982,15184200
Australia,1987,16257249
Australia,1992,17481977
Australia,1997,18565243
Australia,2002,19546792
Australia,2007,20434176
Austria,1952,6927772
Austria,1957,6965860
Austria,1962,7129864
Austria,1967,7376998
Austria,1972,7544201
Austria,1977,7568430
Austria,1982,7574613
Austria,1987,7578903
Austria,1992,7914969
Austria,1997,8069876
Austria,2002,8148312
Austria,2007,8199783